3.40     8.6766861252486796E-002 eV
3.60     4.7729251800539989E-002 eV
3.80     3.0495341227435208E-002 eV
4.00     1.9416863011191887E-002 eV
4.04     3.0884539917358768E-002 eV
4.20     1.2295241936662125E-002 eV
4.40     7.9106718527261304E-003 eV
4.60     5.0608707253696310E-003 eV
4.80     3.3116657037735499E-003 eV
5.50     9.2816323038444055E-004 eV
6.00     4.6588349428336706E-004 eV
6.50     2.6569229119601282E-004 eV
7.00     1.6029308573963850E-004 eV
8.00     7.0599647180046539E-005 eV
10.00    2.2790251009318643E-005 eV
11.00    1.3645320500730538E-005 eV
12.00    9.0182237636584582E-006 eV
13.00    6.6655541573229489E-006 eV
14.00    5.3076884988770412E-006 eV
15.00    3.9482448683909865E-006 eV
17.00    1.8085847756196771E-006 eV
19.00    8.6808384859743569E-007 eV
21.00    5.3799635082372829E-007 eV
23.00    3.0996952923749433E-007 eV
