3.40     3.7666936938931223E-002
3.60     5.1153385984082873E-002
3.80     1.7226458577505422E-002
4.00     1.1721625185497804E-002
4.04     1.0878573002161928E-002
4.20     1.0973620712527570E-002
4.40     5.3722406671350446E-003
4.60     3.9285529827940485E-003
4.80     2.6208753064298558E-003
5.00     2.0448257567595371E-003
5.50     1.1732615178238063E-003
6.00     6.9542336225509932E-004
6.50     4.1557485130185837E-004
7.00     2.6120045989694909E-004
7.50     1.5286135863049960E-004
8.00     1.0198901180455115E-004
8.50     6.8621791914997681E-005
9.00     5.5687248176985504E-005
9.50     4.0054298315601652E-005
10.00    2.8811897045065347E-005
11.00    1.6879182812258149E-005
12.00    9.6471023201162225E-006
13.00    5.9798838009838023E-006
14.00    3.8300934318097351E-006
15.00    1.2671175932343809E-006
17.00    1.1981816303190685E-006
19.00    6.0368303186421522E-007
21.00    3.3608978213258113E-007
23.00    1.6615099980169997E-007
25.00    1.0298706417062934E-007
