            85            76             8      69            33            9             54            17            6             43            10            4             33            6             2       
            77            74             8      57            32            9             42            16            6             30            9             3             22            6             2       
            71            73             8      49            31            9             34            15            5             24            9             3             17            5             2       
            66            72             8      43            30            9             28            15            5             19            8             3             14            5             2       
            64            71             9      40            30            9             26            15            5             17            8             3             12            5             2       
            60            71             9      36            30            9             23            14            5             15            8             3             10            5             2       
            56            71             9      33            30            9             20            14            5             13            8             3             9             5             2       
            54            70             9      31            29            9             19            14            5             12            8             3             8             5             2       
            51            70             9      28            29            9             17            14            5             11            8             3             7             5             2       
            50            70             9      27            29            9             16            14            5             10            8             3             7             5             2       
            47            70             9      25            29            9             15            14            5             9             8             3             6             5             2       
            46            69             9      24            29            9             14            14            5             9             8             3             6             5             2       
            44            69             9      23            29            9             13            14            5             8             8             3             5             5             2       
            42            69             9      21            29            9             12            14            5             8             8             3             5             5             2       
            41            69             9      20            28            9             12            14            5             7             8             3             5             5             2       
            40            69             9      20            28            8             11            14            5             7             7             3             5             4             2       
            39            68             9      19            28            8             11            13            5             7             7             3             4             4             2       
            38            68             9      19            28            8             10            13            5             6             7             3             4             4             2       
            38            68             9      18            28            8             10            13            5             6             7             3             4             4             2       
