            96            77             7      92            41            10            87            25            8             82            16            6             77            11            4       
            94            77             8      86            40            10            79            24            8             72            16            6             64            11            4       
            91            76             8      82            40            10            72            24            8             64            16            6             56            11            4       
            88            76             8      77            40            10            67            24            8             57            15            5             49            11            4       
            87            75             8      74            39            10            63            23            8             53            15            5             44            11            4       
            85            75             8      71            39            10            58            23            8             48            15            5             40            11            4       
            82            75             8      67            39            10            55            23            8             44            15            5             36            11            4       
            81            75             8      65            39            10            52            23            7             42            15            5             34            10            4       
            79            75             8      62            39            10            49            23            7             39            15            5             31            10            4       
            78            75             8      60            39            10            47            23            7             37            15            5             29            10            4       
            76            75             8      58            39            10            44            23            7             35            15            5             27            10            4       
            74            75             8      56            39            10            43            23            7             33            15            5             26            10            4       
            73            75             8      54            39            10            41            23            7             47            15            5             24            10            4       
            71            75             8      52            39            10            39            23            7             30            15            5             23            10            4       
            70            75             8      51            39            10            37            23            7             28            15            5             22            10            4       
            69            75             8      49            39            10            36            23            7             27            15            5             21            10            4       
            68            75             8      48            39            10            35            23            7             26            15            5             20            10            4       
            67            74             8      47            38            10            34            23            7             25            15            5             19            10            4       
            66            74             8      46            38            10            33            23            7             24            15            5             19            10            4       
