            91            77             8      80            36            10            70            20            7             60            12            4             50            8             3       
            85            75             8      71            35            10            57            19            6             46            11            4             37            7             3       
            81            74             8      63            35            9             49            18            6             37            11            4             29            7             3       
            77            74             8      57            34            9             42            18            6             31            11            4             24            7             3       
            74            73             8      54            34            9             39            18            6             28            11            4             21            7             3       
            71            73             8      49            34            9             35            18            6             25            11            4             18            7             3       
            67            73             8      45            33            9             31            18            6             22            10            4             16            7             3       
            66            72             8      43            33            9             29            17            6             20            10            4             15            7             3       
            63            72             8      40            33            9             27            17            6             18            10            4             13            7             3       
            61            72             8      39            33            9             25            17            6             17            10            4             12            6             3       
            59            72             8      36            33            9             23            17            6             16            10            4             11            6             3       
            57            72             9      35            33            9             22            17            6             15            10            4             11            6             3       
            55            72             9      33            33            9             21            17            6             14            10            4             10            6             3       
            53            72             9      31            33            9             20            17            6             13            10            4             9             6             3       
            52            72             9      30            33            9             19            17            6             13            10            4             9             6             3       
            51            71             9      29            32            9             18            17            6             12            10            4             8             6             2       
            50            71             9      28            32            9             17            17            6             12            10            4             8             6             2       
            49            71             9      27            32            9             17            17            6             11            10            4             8             6             2       
            48            71             9      27            32            9             16            17            6             11            10            4             7             6             2       
